GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD02,Estimate; Median age -- - Total:
HD02_VD02,Margin of Error; Median age -- - Total:
HD01_VD03,"Estimate; Median age -- - Total: - Car, truck, or van - drove alone"
HD02_VD03,"Margin of Error; Median age -- - Total: - Car, truck, or van - drove alone"
HD01_VD04,"Estimate; Median age -- - Total: - Car, truck, or van - carpooled"
HD02_VD04,"Margin of Error; Median age -- - Total: - Car, truck, or van - carpooled"
HD01_VD05,Estimate; Median age -- - Total: - Public transportation (excluding taxicab)
HD02_VD05,Margin of Error; Median age -- - Total: - Public transportation (excluding taxicab)
HD01_VD06,Estimate; Median age -- - Total: - Walked
HD02_VD06,Margin of Error; Median age -- - Total: - Walked
HD01_VD07,"Estimate; Median age -- - Total: - Taxicab, motorcycle, bicycle, or other means"
HD02_VD07,"Margin of Error; Median age -- - Total: - Taxicab, motorcycle, bicycle, or other means"
HD01_VD08,Estimate; Median age -- - Total: - Worked at home
HD02_VD08,Margin of Error; Median age -- - Total: - Worked at home
