GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,"Estimate; Median age -- - Total: - Car, truck, or van - drove alone","Margin of Error; Median age -- - Total: - Car, truck, or van - drove alone","Estimate; Median age -- - Total: - Car, truck, or van - carpooled","Margin of Error; Median age -- - Total: - Car, truck, or van - carpooled",Estimate; Median age -- - Total: - Public transportation (excluding taxicab),Margin of Error; Median age -- - Total: - Public transportation (excluding taxicab),Estimate; Median age -- - Total: - Walked,Margin of Error; Median age -- - Total: - Walked,"Estimate; Median age -- - Total: - Taxicab, motorcycle, bicycle, or other means","Margin of Error; Median age -- - Total: - Taxicab, motorcycle, bicycle, or other means",Estimate; Median age -- - Total: - Worked at home,Margin of Error; Median age -- - Total: - Worked at home
8600000US89010,89010,ZCTA5 89010,45.6,4.6,46.0,11.4,45.3,2.9,-,**,45.6,11.9,-,**,56.7,28.5
8600000US89019,89019,ZCTA5 89019,51.6,3.0,51.8,3.5,-,**,-,**,39.6,22.9,-,**,-,**
8600000US89046,89046,ZCTA5 89046,54.0,7.3,50.9,4.8,-,**,-,**,-,**,-,**,65.6,24.8
8600000US89060,89060,ZCTA5 89060,48.6,3.5,49.2,2.7,42.9,5.0,-,**,-,**,44.9,11.1,60.3,3.5
8600000US89061,89061,ZCTA5 89061,48.3,7.1,50.2,7.9,48.3,34.7,-,**,-,**,61.6,12.2,54.0,21.9
8600000US89439,89439,ZCTA5 89439,53.7,8.2,54.1,13.7,53.9,18.3,-,**,-,**,-,**,58.6,45.5
8600000US90001,90001,ZCTA5 90001,38.3,0.6,38.1,0.9,39.0,1.4,36.2,2.4,39.9,2.2,40.1,5.1,49.2,5.0
8600000US90002,90002,ZCTA5 90002,37.7,1.2,37.8,1.2,39.5,2.9,33.3,4.5,35.1,9.7,42.4,3.8,50.8,8.1
8600000US90003,90003,ZCTA5 90003,38.3,0.8,38.2,1.0,37.5,2.4,37.9,2.8,39.1,5.7,38.3,4.1,49.2,7.2
8600000US90004,90004,ZCTA5 90004,39.4,1.0,39.2,1.5,41.4,3.9,38.2,2.2,40.3,3.8,40.8,3.5,41.5,2.6
8600000US90005,90005,ZCTA5 90005,38.8,1.2,39.5,1.4,43.2,5.3,37.8,1.9,36.5,5.5,32.5,1.8,41.4,4.1
8600000US90006,90006,ZCTA5 90006,38.6,0.6,38.6,0.8,40.2,2.5,38.4,1.3,40.9,5.4,32.5,2.6,41.4,7.5
8600000US90007,90007,ZCTA5 90007,30.4,0.8,35.8,2.0,33.6,3.2,35.0,2.9,21.8,0.5,23.8,1.8,32.1,9.4
8600000US90008,90008,ZCTA5 90008,44.8,1.4,46.8,1.6,39.6,6.6,39.4,4.2,41.3,11.5,40.2,13.1,44.1,7.1
8600000US90010,90010,ZCTA5 90010,42.4,6.2,44.7,7.9,45.6,2.8,45.6,27.1,35.5,5.2,38.8,13.2,31.7,19.4
8600000US90011,90011,ZCTA5 90011,37.4,0.6,36.8,0.8,37.3,2.3,37.1,1.6,38.3,2.1,38.8,3.7,46.1,5.2
8600000US90012,90012,ZCTA5 90012,36.0,1.1,34.7,1.2,33.6,8.3,39.2,4.9,41.4,2.6,36.2,5.3,32.1,5.4
8600000US90013,90013,ZCTA5 90013,35.0,1.1,35.0,1.9,35.8,7.2,35.0,6.1,34.1,3.8,29.3,13.8,36.8,5.6
8600000US90014,90014,ZCTA5 90014,35.0,1.2,34.2,1.9,41.0,12.5,35.6,6.4,34.5,1.3,31.8,6.8,40.9,11.5
8600000US90015,90015,ZCTA5 90015,35.8,0.9,36.3,1.3,39.1,7.6,34.5,1.8,38.1,6.6,36.2,5.9,34.5,5.2
8600000US90016,90016,ZCTA5 90016,40.8,0.7,41.7,1.1,39.5,1.7,37.1,5.8,26.9,9.1,42.4,7.0,40.2,5.1
8600000US90017,90017,ZCTA5 90017,35.3,0.9,34.7,1.2,37.5,2.6,35.2,1.6,34.7,0.9,33.4,6.2,43.8,2.5
8600000US90018,90018,ZCTA5 90018,40.3,0.6,40.5,0.7,39.1,4.5,39.7,3.7,41.0,6.1,29.4,4.3,45.8,7.9
8600000US90019,90019,ZCTA5 90019,39.8,0.8,39.6,1.0,41.6,3.3,37.7,3.7,47.1,3.6,33.1,3.9,46.4,3.5
8600000US90020,90020,ZCTA5 90020,38.6,1.3,39.0,2.1,39.0,1.8,36.4,3.0,39.9,7.1,34.8,7.4,40.3,6.0
8600000US90021,90021,ZCTA5 90021,42.1,2.7,38.2,6.9,42.3,5.2,46.5,9.0,45.0,5.0,46.1,9.5,35.4,8.8
8600000US90022,90022,ZCTA5 90022,37.5,0.9,37.0,1.0,38.0,1.5,38.5,3.1,40.1,5.2,36.1,7.7,44.3,8.1
8600000US90023,90023,ZCTA5 90023,38.5,0.7,38.4,0.8,36.8,1.9,38.4,2.6,41.5,4.3,35.6,3.5,44.6,3.9
8600000US90024,90024,ZCTA5 90024,31.5,1.4,38.4,2.9,38.2,6.1,29.9,2.5,21.8,0.3,24.0,4.7,44.0,4.2
8600000US90025,90025,ZCTA5 90025,34.9,0.9,34.8,0.9,37.8,3.6,30.5,2.2,32.3,2.6,32.0,1.4,43.5,3.9
8600000US90026,90026,ZCTA5 90026,37.0,0.6,36.7,0.7,39.3,3.7,35.8,3.2,38.4,3.4,34.0,5.7,38.0,2.6
8600000US90027,90027,ZCTA5 90027,36.9,0.8,35.9,0.8,42.2,3.3,36.8,2.3,44.8,10.9,32.9,5.8,38.0,1.4
8600000US90028,90028,ZCTA5 90028,34.8,1.2,34.3,1.2,44.7,2.1,35.3,3.3,36.9,7.1,33.1,2.6,33.3,7.8
8600000US90029,90029,ZCTA5 90029,37.6,1.4,36.3,1.3,37.2,3.9,40.1,2.1,38.1,7.2,34.6,6.0,38.6,4.5
8600000US90031,90031,ZCTA5 90031,40.7,0.7,40.3,1.1,39.7,4.0,43.2,3.1,44.8,6.5,33.2,3.4,49.4,6.2
8600000US90032,90032,ZCTA5 90032,39.1,0.9,39.9,1.1,38.2,2.0,34.2,5.0,35.5,9.9,37.7,7.8,42.9,12.7
8600000US90033,90033,ZCTA5 90033,38.3,1.2,38.4,1.2,37.0,4.7,38.0,3.4,35.0,5.7,33.6,9.0,46.7,4.0
8600000US90034,90034,ZCTA5 90034,35.4,0.7,35.6,0.8,33.2,2.3,34.4,3.9,31.8,3.8,32.0,2.2,40.7,3.3
8600000US90035,90035,ZCTA5 90035,38.5,1.6,38.8,1.8,37.9,5.9,31.4,1.8,33.3,6.1,35.7,5.0,46.8,3.5
8600000US90036,90036,ZCTA5 90036,36.8,0.7,36.7,0.8,38.7,5.1,35.2,4.1,34.1,5.8,36.2,1.5,38.8,2.6
8600000US90037,90037,ZCTA5 90037,37.0,1.1,37.9,1.1,33.2,5.6,35.5,1.5,36.0,11.4,34.9,4.5,45.9,4.0
8600000US90038,90038,ZCTA5 90038,36.1,1.2,35.7,1.1,38.3,7.5,38.3,3.0,36.8,9.7,31.6,2.7,38.1,5.5
8600000US90039,90039,ZCTA5 90039,38.9,1.2,38.9,1.3,37.1,2.1,42.3,8.0,37.4,3.6,32.9,3.2,41.0,2.6
8600000US90040,90040,ZCTA5 90040,38.2,3.0,37.8,3.2,38.5,3.6,36.1,29.4,-,**,24.5,2.6,50.4,10.5
8600000US90041,90041,ZCTA5 90041,41.5,1.3,41.4,1.4,42.1,2.2,38.8,5.2,23.1,6.4,38.6,7.7,47.0,1.4
8600000US90042,90042,ZCTA5 90042,38.8,0.8,39.3,0.8,39.4,2.3,35.3,2.5,35.7,1.9,37.4,4.0,42.5,3.5
8600000US90043,90043,ZCTA5 90043,42.1,1.2,41.8,1.6,40.8,3.4,45.7,10.0,33.7,8.0,43.8,12.7,50.9,4.9
